Combination,Weight1,Weight2,10-Year Return
QQQ-SCHD,7,3,323.4213062
QQQ-SCHD,7,3,314.520266
QQQ-SCHD,7,3,326.494684
QQQ-SCHD,7,3,315.8643613
QQQ-SCHD,7,3,321.3635141
QQQ-SCHD,7,3,355.4408051
QQQ-SCHD,7,3,347.5281806
QQQ-SCHD,7,3,346.8585442
QQQ-SCHD,7,3,308.2340009
QQQ-SCHD,7,3,278.8392668
QQQ-SCHD,7,3,301.6398683
QQQ-SCHD,7,3,314.9644326
QQQ-SCHD,7,3,332.0012208
QQQ-SCHD,7,3,329.8479639
QQQ-SCHD,7,3,344.5480586
QQQ-SCHD,7,3,323.5536329
QQQ-SCHD,7,3,329.2077327
QQQ-SCHD,7,3,336.0071298
QQQ-SCHD,7,3,337.6364854
QQQ-SCHD,7,3,324.8489385
QQQ-SCHD,7,3,336.0986492
QQQ-SCHD,7,3,323.3737713
QQQ-SCHD,7,3,327.6531315
QQQ-SCHD,7,3,328.4004312
QQQ-SCHD,7,3,347.9994193
QQQ-SCHD,7,3,315.4321096
QQQ-SCHD,7,3,302.205169
QQQ-SCHD,7,3,290.7521068
QQQ-SCHD,7,3,311.562203
QQQ-SCHD,8,2,536.2340351
QQQ-SCHD,8,2,555.7492043
QQQ-SCHD,8,2,573.3466073
QQQ-SCHD,8,2,481.475456
QQQ-SCHD,8,2,428.2967485
QQQ-SCHD,8,2,427.8441784
QQQ-SCHD,8,2,370.5876055
QQQ-SCHD,8,2,400.2676619
QQQ-SCHD,8,2,340.7310331
QQQ-SCHD,8,2,382.2213633
QQQ-SCHD,8,2,340.9728511
QQQ-SCHD,8,2,293.5161459
QQQ-SCHD,8,2,334.0829653
QQQ-SCHD,8,2,354.1014109
QQQ-SCHD,8,2,319.8164712
QQQ-SCHD,8,2,342.9320271
QQQ-SCHD,8,2,335.681817
QQQ-SCHD,8,2,353.1796276
QQQ-SCHD,8,2,342.6587552
QQQ-SCHD,8,2,352.7133563
QQQ-SCHD,8,2,390.567321
QQQ-SCHD,8,2,381.1079349
QQQ-SCHD,8,2,378.8681325
QQQ-SCHD,8,2,336.1760278
QQQ-SCHD,8,2,305.5104001
QQQ-SCHD,8,2,331.2704306
QQQ-SCHD,8,2,344.5202126
QQQ-SCHD,8,2,362.3358928
QQQ-SCHD,8,2,360.9936964
QQQ-SCHD,8,2,377.8264313
QQQ-SCHD,8,2,356.2996494
QQQ-SCHD,8,2,362.7882926
